x,y,width,height,num_cell,type,direction,tag,imid
1105.9999999999998,400.99999999999983,25,33,10,num,vertical,0,1
1173.0,398.9999999999998,25,33,10,num,vertical,1,1
1238.9999999999995,400.9999999999999,25,33,10,num,vertical,2,1
1306.0,401.9999999999999,25,33,10,num,vertical,3,1
1370.9999999999998,400.0,25,33,10,num,vertical,4,1
1437.9999999999993,400.99999999999994,25,33,10,num,vertical,5,1
1536.9999999999998,433.99999999999994,25,33,9,num,vertical,6,1
200.99999999999994,1105.9999999999993,33,29,5,char,horizontal,7,0
200.99999999999997,1139.9999999999995,33,29,5,char,horizontal,8,0
199.9999999999999,1175.9999999999995,33,27,5,char,horizontal,9,0
201.99999999999994,1209.9999999999993,33,27,5,char,horizontal,10,0
202.99999999999991,1242.9999999999995,33,27,5,char,horizontal,11,0
203.9999999999999,1275.9999999999993,33,27,5,char,horizontal,12,0
202.99999999999991,1309.9999999999989,33,27,5,char,horizontal,13,0
202.99999999999991,1340.9999999999998,33,27,5,char,horizontal,14,0
204.99999999999983,1375.9999999999995,33,27,5,char,horizontal,15,0
201.99999999999991,1407.9999999999998,33,27,5,char,horizontal,16,0
201.99999999999997,1442.0,33,27,5,char,horizontal,17,0
200.99999999999997,1476.0000000000002,33,27,5,char,horizontal,18,0
201.99999999999994,1509.0,33,27,5,char,horizontal,19,0
199.99999999999994,1541.9999999999998,33,27,5,char,horizontal,20,0
200.0,1574.9999999999993,33,27,5,char,horizontal,21,0
200.0,1606.9999999999998,33,27,5,char,horizontal,22,0
200.99999999999994,1637.9999999999993,33,29,5,char,horizontal,23,0
201.0,1670.9999999999993,33,27,5,char,horizontal,24,0
200.99999999999994,1704.9999999999995,33,27,5,char,horizontal,25,0
201.0,1738.9999999999995,33,27,5,char,horizontal,26,0
201.0,1772.9999999999998,33,27,5,char,horizontal,27,0
199.99999999999991,1805.9999999999995,33,27,5,char,horizontal,28,0
199.99999999999997,1839.9999999999995,33,27,5,char,horizontal,29,0
197.99999999999994,1874.9999999999998,33,27,5,char,horizontal,27,0
197.99999999999994,1907.0,33,27,5,char,horizontal,31,0
198.99999999999994,1942.9999999999995,33,29,5,char,horizontal,32,0
198.99999999999997,1977.9999999999995,33,27,5,char,horizontal,33,0
200.0,2010.9999999999998,33,27,5,char,horizontal,34,0
197.99999999999994,2043.999999999999,33,27,5,char,horizontal,35,0
197.99999999999991,2076.0,33,27,5,char,horizontal,36,0
